dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,Inf,0.142857142857143,1,0,0,7,0.01,0,0
18314,32,0.290994448735806,0.142857142857143,1,0,0,7,0.01,0,0
18315,33,0.0954451150103322,0.142857142857143,1,0,0,7,0.01,0,0
18316,34,0,0.142857142857143,0,0,0,7,0.01,0,0
18317,35,-0.0871290708247231,0.142857142857143,0,0,0,7,0.01,0,0
18318,36,0.183215956619923,0.285714285714286,1,0,0,7,0.01,0,0
18319,37,0.362770287738494,0.428571428571429,1,0,0,7,0.01,0,0
18320,38,0.941450686788302,0.714285714285714,1,0.142857142857143,0,7,0.01,0.04,0
18321,39,0.186660551845439,0.714285714285714,1,0.25,0,7,0.01,0.0769230769230769,0
18322,40,0.135717866577685,0.857142857142857,1,0.333333333333333,0,7,0.01,0.111111111111111,0
18323,41,0.607275126832159,1.57142857142857,1,0.4,0,8,0.01,0.142857142857143,0
18324,42,0.376636160590033,2,1,0.454545454545455,0,10,0.01,0.172413793103448,0
18325,43,0.0960062669909322,1.85714285714286,1,0.5,0,10,0.01,0.2,0
18326,44,0.184670191266491,2.57142857142857,1,0.538461538461538,0,10,0.01,0.225806451612903,0
18327,45,0.527380517973288,4.42857142857143,1,0.571428571428571,0,10,0.01,0.25,0
18328,46,0.403570935185196,5.85714285714286,1,0.6,0,10,0.01,0.272727272727273,0
18329,47,0.263866882971354,7,1,0.625,0,10,0.01,0.294117647058824,0
18330,48,0.0936873114942897,6.85714285714286,1,0.647058823529412,0,10,0.01,0.314285714285714,0
18331,49,0.271306853059186,10.4285714285714,1,0.666666666666667,0,10,0.01,0.333333333333333,0
18332,50,-0.0644920004246815,6.42857142857143,0,0.684210526315789,0,10,0.01,0.351351351351351,0
18333,51,-0.0164862356677719,8.57142857142857,0,0.7,0,10,0.01,0.368421052631579,0
18334,52,0.0371853230808824,10.7142857142857,1,0.714285714285714,0,10,0.01,0.384615384615385,0
18335,53,0.054539990089533,13,1,0.727272727272727,0,10,0.01,0.4,0
18336,54,0.238795547552895,17.2857142857143,1,0.739130434782609,0,10,0.01,0.414634146341463,0
18337,55,0.704369805990509,27.2857142857143,1,0.75,0,10,0.01,0.428571428571429,0
18338,56,0.274223994639904,29.5714285714286,1,0.76,0,10,0.01,0.441860465116279,0
18339,57,0.384783327234569,44.4285714285714,1,0.769230769230769,0,17,0.01,0.454545454545455,0
